Method,Buffer,Start,Area,People
Census,0.3,Point,Full,6396.25
Census,0.5,Point,Full,17164.03
Census,1,Point,Full,49746.75
Census,1,Footprint,Full,63961.89
Census,0.5,Footprint,Full,33775.52
Census,0.3,Footprint,Full,20992.62
Census,na,County,Full,201859
ResParcel,0.3,Point,Full,3291
ResParcel,0.5,Point,Full,8440
ResParcel,1,Point,Full,22398
ResParcel,1,Footprint,Full,28472
ResParcel,0.5,Footprint,Full,16143
ResParcel,0.3,Footprint,Full,10358
ResParcel,na,County,Full,103853
BldgCnt,0.3,Point,Full,3390
BldgCnt,0.5,Point,Full,4806
BldgCnt,1,Point,Full,11485
BldgCnt,1,Footprint,Full,33876
BldgCnt,0.5,Footprint,Full,19020
BldgCnt,0.3,Footprint,Full,12025
BldgCnt,na,County,Full,116550
Parcel,0.3,Point,Full,5390
Parcel,0.5,Point,Full,6460
Parcel,1,Point,Full,14475
Parcel,1,Footprint,Full,43074
Parcel,0.5,Footprint,Full,25397
Parcel,0.3,Footprint,Full,16831
Parcel,na,County,Full,155469
Landscan,0.3,Point,Full,5576
Landscan,0.5,Point,Full,15303
Landscan,1,Point,Full,44479
Landscan,1,Footprint,Full,56369
Landscan,0.5,Footprint,Full,30010
Landscan,0.3,Footprint,Full,18486
Landscan,na,County,Full,205108
Census,0.3,Footprint,SFHA,4098.45
Census,0.5,Footprint,SFHA,5442.04
Census,1,Footprint,SFHA,8524.14
Census,1,Point,SFHA,6801.71
Census,0.5,Point,SFHA,2347.31
Census,0.3,Point,SFHA,1099.54
Census,na,County,SFHA,89897.9
Parcel,1,Footprint,SFHA,13716
BldgCnt,1,Footprint,SFHA,6390
Parcel,0.3,Footprint,SFHA,7184
BldgCnt,0.3,Footprint,SFHA,3519
Parcel,0.5,Footprint,SFHA,9474
BldgCnt,0.5,Footprint,SFHA,4488
Parcel,0.3,Point,SFHA,1872
BldgCnt,0.3,Point,SFHA,682
Parcel,0.5,Point,SFHA,3926
BldgCnt,0.5,Point,SFHA,1659
Parcel,1,Point,SFHA,9719
BldgCnt,1,Point,SFHA,4351
Parcel,na,County,SFHA,176607
BldgCnt,na,County,SFHA,69371
ResParcel,0.3,Footprint,SFHA,3856
ResParcel,0.5,Footprint,SFHA,5016
ResParcel,1,Footprint,SFHA,7381
ResParcel,1,Point,SFHA,5425
ResParcel,0.5,Point,SFHA,2021
ResParcel,0.3,Point,SFHA,870
ResParcel,na,County,SFHA,106380
Landscan,0.3,Footprint,SFHA,3710
Landscan,0.5,Footprint,SFHA,5036
Landscan,1,Footprint,SFHA,7866
Landscan,1,Point,SFHA,6444
Landscan,0.5,Point,SFHA,2061
Landscan,0.3,Point,SFHA,899
Landscan,na,County,SFHA,78275
Parcel,1,Point,SLR2ft,2872
BldgCnt,1,Point,SLR2ft,139
Parcel,1,Footprint,SLR2ft,4099
BldgCnt,1,Footprint,SLR2ft,211
Parcel,0.5,Point,SLR2ft,1228
BldgCnt,0.5,Point,SLR2ft,68
Parcel,0.3,Point,SLR2ft,591
BldgCnt,0.3,Point,SLR2ft,23
Parcel,0.5,Footprint,SLR2ft,2622
BldgCnt,0.5,Footprint,SLR2ft,123
Parcel,0.3,Footprint,SLR2ft,1897
BldgCnt,0.3,Footprint,SLR2ft,94
Parcel,na,County,SLR2ft,13013
BldgCnt,na,County,SLR2ft,582
ResParcel,0.3,Footprint,SLR2ft,900
ResParcel,0.5,Footprint,SLR2ft,1227
ResParcel,1,Footprint,SLR2ft,2055
ResParcel,1,Point,SLR2ft,1519
ResParcel,0.5,Point,SLR2ft,556
ResParcel,0.3,Point,SLR2ft,242
ResParcel,na,County,SLR2ft,5486
Census,0.3,Footprint,SLR2ft,261
Census,0.5,Footprint,SLR2ft,309
Census,1,Footprint,SLR2ft,448
Census,1,Point,SLR2ft,328
Census,0.5,Point,SLR2ft,210
Census,0.3,Point,SLR2ft,137
Census,na,County,SLR2ft,3231.2
Landscan,0.3,Footprint,SLR2ft,94
Landscan,0.5,Footprint,SLR2ft,162
Landscan,1,Footprint,SLR2ft,367
Landscan,1,Point,SLR2ft,309
Landscan,0.5,Point,SLR2ft,86
Landscan,0.3,Point,SLR2ft,31
Landscan,na,County,SLR2ft,1056
