"","CNames","SUNSID","Acres","BUFF_DIST","Method","People","Start","Buffer","Area"
"1","Buff03km","APA01",0.680000007152557,300,"Landscan Sum",168,"Footprint","Buffer 0.3km","Full Buffer"
"2","Buff03km","APA01",0.680000007152557,300,"Census Population",237.213419502079,"Footprint","Buffer 0.3km","Full Buffer"
"3","Buff03km","APA01",0.680000007152557,300,"Parcel Building Count",117,"Footprint","Buffer 0.3km","Full Buffer"
"4","Buff03km","APA01",0.680000007152557,300,"Residential Parcels",116,"Footprint","Buffer 0.3km","Full Buffer"
"5","Buff03km","APA01",0.680000007152557,300,"All Parcels",169,"Footprint","Buffer 0.3km","Full Buffer"
"6","Buff03km","APA02",27.8899993896484,300,"Landscan Sum",69,"Footprint","Buffer 0.3km","Full Buffer"
"7","Buff03km","APA02",27.8899993896484,300,"Census Population",179.068737535043,"Footprint","Buffer 0.3km","Full Buffer"
"8","Buff03km","APA02",27.8899993896484,300,"Parcel Building Count",176,"Footprint","Buffer 0.3km","Full Buffer"
"9","Buff03km","APA02",27.8899993896484,300,"Residential Parcels",156,"Footprint","Buffer 0.3km","Full Buffer"
"10","Buff03km","APA02",27.8899993896484,300,"All Parcels",292,"Footprint","Buffer 0.3km","Full Buffer"
"11","Buff03km","APA03",5.84999990463257,300,"Landscan Sum",28,"Footprint","Buffer 0.3km","Full Buffer"
"12","Buff03km","APA03",5.84999990463257,300,"Census Population",102.15446825127,"Footprint","Buffer 0.3km","Full Buffer"
"13","Buff03km","APA03",5.84999990463257,300,"Parcel Building Count",213,"Footprint","Buffer 0.3km","Full Buffer"
"14","Buff03km","APA03",5.84999990463257,300,"Residential Parcels",85,"Footprint","Buffer 0.3km","Full Buffer"
"15","Buff03km","APA03",5.84999990463257,300,"All Parcels",293,"Footprint","Buffer 0.3km","Full Buffer"
"16","Buff03km","APA04",2.38000011444092,300,"Landscan Sum",18,"Footprint","Buffer 0.3km","Full Buffer"
"17","Buff03km","APA04",2.38000011444092,300,"Census Population",34.5187698883135,"Footprint","Buffer 0.3km","Full Buffer"
"18","Buff03km","APA04",2.38000011444092,300,"Parcel Building Count",63,"Footprint","Buffer 0.3km","Full Buffer"
"19","Buff03km","APA04",2.38000011444092,300,"Residential Parcels",38,"Footprint","Buffer 0.3km","Full Buffer"
