"","SUNSID","Acres","BUFF_DIST","Method","Start","Buff03km","Buffer05km","Buffer1km","Buff03SLR2","Buff05SLR2ft","Buff1SLR2ft","Buff03SFHA","Buff05SFHA","Buff1SFHA"
"1","LYN05",44.3600006103516,300,"Landscan_pop","Footprint",644,NA,NA,0,NA,NA,37,NA,NA
"2","LYN05",44.3600006103516,300,"Census_pop20","Footprint",783.947876059708,NA,NA,1.37718387814097,NA,NA,93.8204271716517,NA,NA
"3","LYN05",44.3600006103516,300,"ParcelAll_bldgcnt","Footprint",320,NA,NA,0,NA,NA,20,NA,NA
"4","LYN05",44.3600006103516,300,"ParcelRes_count","Footprint",342,NA,NA,4,NA,NA,32,NA,NA
"5","LYN05",44.3600006103516,300,"ParcelAll_count","Footprint",403,NA,NA,9,NA,NA,46,NA,NA
"6","CAL02",25.8899993896484,300,"Landscan_pop","Footprint",48,NA,NA,10,NA,NA,48,NA,NA
"7","CAL02",25.8899993896484,300,"Census_pop20","Footprint",139.660344483065,NA,NA,90.3269610936581,NA,NA,139.660344349535,NA,NA
"8","CAL02",25.8899993896484,300,"ParcelAll_bldgcnt","Footprint",31,NA,NA,3,NA,NA,31,NA,NA
"9","CAL02",25.8899993896484,300,"ParcelRes_count","Footprint",41,NA,NA,18,NA,NA,41,NA,NA
"10","CAL02",25.8899993896484,300,"ParcelAll_count","Footprint",65,NA,NA,34,NA,NA,65,NA,NA
"11","APA03",5.84999990463257,300,"Landscan_pop","Footprint",28,NA,NA,0,NA,NA,12,NA,NA
"12","APA03",5.84999990463257,300,"Census_pop20","Footprint",102.15446825127,NA,NA,0.808168042972978,NA,NA,41.8985633156288,NA,NA
"13","APA03",5.84999990463257,300,"ParcelAll_bldgcnt","Footprint",213,NA,NA,12,NA,NA,132,NA,NA
"14","APA03",5.84999990463257,300,"ParcelRes_count","Footprint",85,NA,NA,3,NA,NA,50,NA,NA
"15","APA03",5.84999990463257,300,"ParcelAll_count","Footprint",293,NA,NA,53,NA,NA,228,NA,NA
"16","APA04",2.38000011444092,300,"Landscan_pop","Footprint",18,NA,NA,0,NA,NA,8,NA,NA
"17","APA04",2.38000011444092,300,"Census_pop20","Footprint",34.5187698883135,NA,NA,0.846674621932529,NA,NA,14.2651267018614,NA,NA
"18","APA04",2.38000011444092,300,"ParcelAll_bldgcnt","Footprint",63,NA,NA,5,NA,NA,38,NA,NA
"19","APA04",2.38000011444092,300,"ParcelRes_count","Footprint",38,NA,NA,2,NA,NA,25,NA,NA
"20","APA04",2.38000011444092,300,"ParcelAll_count","Footprint",93,NA,NA,25,NA,NA,75,NA,NA
"21","APA02",27.8899993896484,300,"Landscan_pop","Footprint",69,NA,NA,1,NA,NA,14,NA,NA
"22","APA02",27.8899993896484,300,"Census_pop20","Footprint",179.068737535043,NA,NA,4.20558543784235,NA,NA,55.4976997851168,NA,NA
"23","APA02",27.8899993896484,300,"ParcelAll_bldgcnt","Footprint",176,NA,NA,20,NA,NA,72,NA,NA
"24","APA02",27.8899993896484,300,"ParcelRes_count","Footprint",156,NA,NA,28,NA,NA,65,NA,NA
"25","APA02",27.8899993896484,300,"ParcelAll_count","Footprint",292,NA,NA,57,NA,NA,138,NA,NA
"26","APA01",0.680000007152557,300,"Landscan_pop","Footprint",168,NA,NA,NA,NA,NA,0,NA,NA
"27","APA01",0.680000007152557,300,"Census_pop20","Footprint",237.213419502079,NA,NA,NA,NA,NA,0.819052026399057,NA,NA
"28","APA01",0.680000007152557,300,"ParcelAll_bldgcnt","Footprint",117,NA,NA,NA,NA,NA,0,NA,NA
"29","APA01",0.680000007152557,300,"ParcelRes_count","Footprint",116,NA,NA,NA,NA,NA,0,NA,NA
"30","APA01",0.680000007152557,300,"ParcelAll_count","Footprint",169,NA,NA,NA,NA,NA,4,NA,NA
"31","CAL01",6.67000007629395,300,"Landscan_pop","Footprint",153,NA,NA,4,NA,NA,74,NA,NA
"32","CAL01",6.67000007629395,300,"Census_pop20","Footprint",109.694783593597,NA,NA,4.51437132368977,NA,NA,35.9105995376292,NA,NA
